ZINC06503852	Cc1ccc(C(=O)NC(=S)NNC(N)=S)cc1I
ZINC61480681	COCCCNC(=S)NNC(=O)c1cc(C)sc1C
ZINC62835147	CC[NH+](CC)CCN(CCC(=O)[O-])c1ccccc1N
ZINC63114667	CCN(CC(=O)NCCCOC)c1ccc(N)cc1
ZINC64082862	CC(C)OCC(=O)NNC(=S)NCC(F)(F)F
ZINC65532359	CCCN(CCO)C(=O)NCCC(=O)NC1CCCC1
ZINC65724671	NC(=O)CCCCSc1nnc(NCC2CCCO2)s1
ZINC67086790	CC(C)(C)SCCNC(=O)NCCNc1ncccc1C#N
ZINC67309561	CCOCCCNC(=O)NNC(=O)C1CC1c1ccccc1
ZINC67315078	CCOCCCNC(=O)NNC(=O)/C=C/c1cccc(F)c1
ZINC67532590	CC(COCC(F)(F)F)NC(=O)NCCNC(=O)C1CC1
ZINC04806823	CC(NC(=O)COC(=O)C1CC1C)c1ccccc1
ZINC05456648	Cc1cc(C=O)cc(C)c1OCC(=O)NCC(C)C
ZINC05486218	CN/C(S)=N/N=C\c1ccc(OCC(C)C)cc1
ZINC11895636	CCc1ccc(S(=O)(=O)NCCC(=O)Cl)cc1
ZINC25974402	C/C=C/C(=O)OCC(=O)NC(C)c1ccc(C)c(C)c1
ZINC27469949	CCOc1ccc(/C=C(\C#N)C(=O)NCC2CC2)cc1
ZINC30603882	CCONC(=O)c1ccc(CSc2ccccc2)o1
ZINC17210593	CCOc1ccccc1N/C(=N/C(=O)CC)SC
ZINC32384996	COc1cc(/C=C/C(=O)NCC2CC2C)cc(OC)c1
ZINC28219542	CCn1nccc1CNC(=O)CCC1CCCCC1
ZINC32601779	CCCNS(=O)(=O)c1cc(OCC)c(C)cc1C
ZINC34918970	CCCCCN1CC(C(=O)NC2CCCCC2)CC1=O
ZINC35563601	C=C(C)CSc1nnc(NC(=O)CC(C)C)s1
ZINC36529883	CCC/C=C/C(C(=O)NC1CCCCC1)N(C)C=O
ZINC36970945	CSCCCNc1ccc([N+](=O)[O-])cc1Cl
ZINC38064419	CCC(C)NC(C#N)c1cc(OC)cc(OC)c1
ZINC37137711	CC(C)CC(C)Nc1cnn(CC2CCCO2)c1
ZINC19847494	CC(C)CC(C)OC(C)C(=O)Nc1ccc(C#N)cc1
ZINC40248232	CCOc1ccc(C(O)c2occc2C)cc1OCC
ZINC40263704	COc1ccc(C(O)CC(C)(C)C)c(OC)c1OC
ZINC40476045	C=CCNC(=O)c1ccccc1OCC1CCCO1
ZINC41224275	CN/N=C/c1ccc(OC)c(OCc2ccccc2)c1
ZINC41790740	CC(=O)NC(C(=O)OC(C)c1ccc(C)cc1)C(C)C
ZINC42034556	CC(C)CN(CC(C)C)c1ccc(C(=O)[O-])c[nH+]1
ZINC44383174	CC[NH+](Cc1ccc(C(=O)[O-])cc1)Cc1ccco1
ZINC45022625	COCCC(C)Nc1cc(OC)c(OC)cc1C
ZINC45109463	CCCCOCCNC(=O)C1(C#N)CCCCCC1
ZINC45220989	Cc1cnc(SCCC(C)(C#N)NC(C)C)nc1
ZINC45969878	CC(C)CNC(=O)/C=C/c1ccc(OCC#N)cc1
ZINC46596547	COc1cc(C)c(C(C)NC(=O)CC(C)C)cc1OC
ZINC48765808	CC/C=C\COC(=O)c1[nH]c(C)c(C(C)=O)c1C
ZINC49314097	FC(F)(F)Oc1ccccc1NCCn1cccn1
ZINC49971414	COc1cccc(N(C)CC(C)(C#N)NC(C)C)c1
ZINC49971579	CCNC(C)(C#N)CCN(C)c1ccc(OC)cc1
ZINC50344436	CC(NCCc1ccc([N+](=O)[O-])cc1)c1ccsc1
ZINC50850295	CCCNc1cc(CCC)nc(-c2ccncc2)n1
ZINC54553577	C[NH+](C)CCOc1ccc(C(F)(F)F)cc1C(=O)[O-]
ZINC33979286	CC1CCC(C(C)C)C(OC(=O)OCCO)C1
ZINC58754491	CCCCN(C)S(=O)(=O)NC1CCCC(C)C1C
ZINC45696395	CCCN(CC[NH+](C)C)c1ccc(C(=O)[O-])cc1
ZINC61547070	Cc1ccc(C(=O)NCCCOC2CCCCC2)o1
ZINC61763562	CCCn1ccnc(NCCC2CCCCC2)c1=O
ZINC61764686	CCC(C)C(C)Nc1nccn(CC(C)C)c1=O
ZINC62183013	CC[NH+](CC)Cc1nc(C(C)(C)C)ccc1C(=O)[O-]
ZINC64863507	CCCN(CC#N)C(=O)CCNc1cc(C)cc(C)c1
ZINC64945381	CCCCS(=O)(=O)NCc1cc2ccccc2o1
ZINC66424515	CCN(CC(=O)NCC1CCCCC1)CC(C)C#N
ZINC66581223	CC(C1CC1)N(C)S(=O)(=O)NCC1(C)CCCC1
ZINC66915865	CCCC(C)(C)NS(=O)(=O)N(C)C(C)C1CC1
ZINC67373512	Fc1cccc(NCc2ccnc(OCC3CC3)c2)n1
ZINC06262231	C=C(C)CNC(=S)NNC(=O)c1ccc(OC)cc1
ZINC07782858	Cc1ccc(S(=O)(=O)NC(CC(C)C)C(N)=O)cc1
ZINC08559557	CC(C)CC(=O)NC(=S)NNC(=O)C1CCCCC1
ZINC13747295	CCOc1cc(/C=N/NC(N)=S)cc(Cl)c1OC
ZINC14640754	C#CC(CC)(CC)NC(=O)CSc1nc(C)cc(N)n1
ZINC15559572	CCCNC(=S)NNC(=O)/C=C/c1ccc(C#N)cc1
ZINC17023275	C=CCNC(=S)NNC(=O)C(C)Oc1ccc(C)cc1
ZINC19951400	CCOc1ccc(Nc2ccc(N)cn2)cc1OCC
ZINC32133731	CC(CNS(=O)(=O)c1ccc(C(C)(C)C)cc1)ON
ZINC37134993	CCCC(C)Nc1cc(S(N)(=O)=O)ccc1OC
ZINC35734598	CC(C)COc1nc(NC(C)C2CCCO2)ccc1N
ZINC40346207	CCOc1ccc(C(=O)NC(C)Cc2ccco2)cc1N
ZINC40347529	CCc1ccc(S(=O)(=O)NCCc2ccco2)cc1N
ZINC41064688	Nc1ccc(Cl)cc1C(=O)OCC(=O)NCC1CC1
ZINC41102393	CCC(C)NC(=O)C(C)OC(=O)c1cc(N)c(C)c(F)c1
ZINC41805716	CCCC([NH2+]CC(=O)NC1CC1)(C(=O)[O-])c1ccccc1
ZINC42499932	CC(C)N(CCCO)c1ccc(N)c(OC(C)(C)C)n1
ZINC42593931	CC(C)CC(C)N(C)S(=O)(=O)c1ccc(NN)cc1
ZINC42925155	C=CCNC(=O)NCCNc1ncc(Cl)cc1Cl
ZINC43367298	CCCc1cc([O-])nc(SC(C[NH3+])c2ccc(C)o2)n1
ZINC44650851	CCC[NH2+]CC(=O)Nc1ccc(Cl)cc1C(=O)[O-]
ZINC44749351	CCC(C)(C)NC(=O)C(C)OC(=O)c1ccc(N)cc1C
ZINC44785671	CC(C)CN(CC(C)C)C(=O)C1(/C(N)=N/O)CCCC1
ZINC44864752	CCCC(CCC)(C(=O)N1CCCCC1)/C(N)=N/O
ZINC44871153	CCCC(CCC)(C(=O)N(C)CC1CC1)/C(N)=N/O
ZINC44877404	CCCC(CCC)(C(=O)N1CC2CCC1C2)/C(N)=N/O
ZINC45089455	CCCNC(=O)CCNC(=O)C1CCc2ccccc2N1
ZINC48675228	CCCSCc1nc(N)nc(Nc2ccc(F)cc2)n1
ZINC49091974	CCC(C)C(C)NS(=O)(=O)c1ccc(OC)c(N)c1
ZINC49113934	CCCC(NC(N)=O)C(=O)N(CC)C1CCCCC1
ZINC49127253	CCC(NS(=O)(=O)c1ccc(OC)c(N)c1)C(C)C
ZINC49178848	CCCCC(NC(N)=O)C(=O)N1CCCC(CC)C1
ZINC49241644	CCC(NC(=O)NCC(=O)NC(C)C)c1cccs1
ZINC49284940	Cc1c(N)cc(C(=O)OCC(=O)NCCC(C)C)cc1F
ZINC49519757	CCCCC(CC)C(=O)N1CCCC(NC(N)=O)C1
ZINC49519759	CCCCC(CC)C(=O)N1CCCC(NC(N)=O)C1
ZINC50307177	CCc1[nH]nc(C(=O)N(CC)CC(CC)CC)c1N
ZINC50368935	COC1CCCC1Nc1ccc(N)c(OCC2CC2)n1
ZINC51149208	CC(C)CCCOCc1nc(NN)c2ccsc2n1
ZINC53493191	CC(C)CCCC(C)NC(=O)N1CCC(C(N)=O)CC1
ZINC36067690	CCC(C)NC(=O)/C=C(\C)NNC(=O)c1cccc(F)c1
ZINC50322630	CCCCN(C(=O)c1n[nH]c(CCC)c1N)C1CC1
ZINC60414733	O=C(CCC1CCCCC1)NNC(=O)NCC(F)(F)F
ZINC61431701	CC/C=C(/C)C(=O)NNC(=O)NCCc1cccs1
ZINC61585978	CCCC1CCCN(C(=O)C(CCC)NC(N)=O)CC1
ZINC62898407	CCC1(C(=O)NCCc2ccc(C(=O)[O-])cc2)CC[NH2+]C1
ZINC66094244	CC(C)NC(=O)c1ccc(NCC(=O)NC(C)(C)C)cc1
ZINC66121350	CCC(NC(=O)N1CCCC(CCC(N)=O)C1)C(C)C
ZINC67059533	CC(C)CCC(=O)NNC(=O)NCCC(C)(C)C
ZINC67178092	CC(CN(C)C(=O)C(NC(N)=O)C(C)C)c1ccccc1
ZINC02172168	CCOCCOC(=O)Nc1ccc(Cl)cc1C
ZINC11945663	CC(C)C[NH+](CC(C)C)C(C)c1ccc(C(=O)[O-])o1
ZINC11993835	CC[NH+](COc1ccc(C(=O)[O-])cc1)C(C)(C)C
ZINC19912222	CCOc1ccc(NCc2ccc(C)o2)cc1OCC
ZINC20084496	CCCC(NCC(F)(F)F)c1cccc([N+](=O)[O-])c1
ZINC20176063	CCCCCNC(C#N)c1ccc(OC)cc1OC
ZINC17952443	C=C(C)Cc1c(COC)nc(SCC2CC2)[nH]c1=O
ZINC21805440	CN(CCCNc1ccc(Cl)nn1)c1ccccc1
ZINC25772124	COc1cc(/C=C/C(=O)NC(C)C2CC2)cc(OC)c1
ZINC28240511	C=CCNc1nnc(-c2ccc(OCC)cc2)s1
ZINC34316996	C=CCN(NC(=O)OC(C)(C)C)c1ccccc1
ZINC35046686	COC(=O)c1ccc(CNc2ccc(SC)cc2)o1
ZINC35757858	COC(=O)C(C)CNc1ccc(OC(F)(F)F)cc1
ZINC36569908	CCC/C=C/C(C(=O)NC(C)(C)C)N(C=O)CCC
ZINC37742017	O=C([O-])CSc1[nH+]ccn1CCC1CCCCC1
ZINC37774181	CCn1cc(NC(C)CC(C)(C)OC)ccc1=O
ZINC39792152	CC(C)C[NH+](CC(C)C)C(C)c1ccc(C(=O)[O-])o1
ZINC19847509	CC(C)CC(C)OC(C)C(=O)Nc1cccc(C#N)c1
ZINC40869238	CCOc1ccc(OCC(=O)NC2CCCC2)cc1
ZINC41883676	CCC(C(=O)[O-])(c1ccc(OC)cc1)[NH+](C)CC1CC1
ZINC42136429	CC(C)OC(=O)C(NC(=O)c1ccc(F)cc1)C(C)C
ZINC42252782	CCC(=O)c1ccc(OCC(=O)NC(C)(C)CC)cc1
ZINC42258015	C/C=C/COC(=O)c1ccc(NC(=O)C2CC2C)cc1
ZINC42585839	Cc1cc(C[NH+](CC(C)C)C(C)C)oc1C(=O)[O-]
ZINC43626422	COC(=O)C(C)Nc1ccccc1OC(F)(F)F
ZINC44080448	CCCCN(C(=O)Nc1ccccc1N(C)C)C1CC1
ZINC45022656	COCCC(C)Nc1ccccc1N1CCOCC1
ZINC45036431	COCCC(C)Nc1cc(Cl)ccc1-n1cccn1
ZINC45210189	CCOc1ccc(OCC(C)(C#N)NC(C)C)cc1
ZINC45210839	CCCNC(C)(C#N)COc1cccc(OC)c1
ZINC45969690	CCOc1ccc(/C=C/C(=O)NCC(C)C)cc1OC
ZINC47752033	C/C=C/COC(=O)c1ccc(NC(=O)C(C)C)cc1
ZINC48704019	COCCOc1ccc(NC(=O)/C=C(/C)C2CC2)cc1
ZINC48818120	CCCCCc1nnc(NC(=O)/C=C(\C)C2CC2)s1
ZINC48999951	Cc1nnc(NC(C)CCCC(C)C)c(C#N)c1C
ZINC49055899	CCc1c(C(=O)OCC2CC2C)[nH]c(C)c1C(C)=O
ZINC49971536	CCCNC(C)(C#N)CN(C)c1ccc(OC)cc1
ZINC50832886	CCNc1c(COc2ccccc2CC)c(C)nn1C
ZINC51847395	CCCNC(C)(C#N)COc1cccc(OCC)c1
ZINC52754677	CCCNc1cc(COc2cccc(C#N)c2)ccn1
ZINC55003900	COCC(C)N(C)c1nc(C(C)(C)C)c(CO)s1
ZINC57573391	CCCNC(=O)N(C)Cc1ccc(OC(F)F)cc1
ZINC57624996	CC(Cc1ccccc1)NCc1ccc([N+](=O)[O-])cc1
ZINC59916023	CCN(CC)c1ccc(/C=N/NC(=O)C2CCC2)cc1
ZINC62289022	C=CCn1nnc(CO)c1CCC1CCCCC1
ZINC63099208	CC(NCCC(F)(F)F)c1cccc([N+](=O)[O-])c1
ZINC64242393	CCN(CC)C(=O)NCCCOC1CCCC1
ZINC65028870	CN(CCCCNC(=O)N1CCCC1)c1ccccc1
ZINC65554078	CC(C)c1noc(CNC(c2cccs2)C(C)C)n1
ZINC66058143	CC(=O)NC(C)C(=O)OCc1ccc(C(C)(C)C)cc1
ZINC19910205	NS(=O)(=O)c1ccc(C[NH2+]CC2CCCCC2)cc1
ZINC20088527	NS(=O)(=O)c1ccc(C[NH2+]CC2CC=CCC2)cc1
ZINC20189131	CC(NS(=O)(=O)c1ccc(F)c(C[NH3+])c1)c1ccccc1
ZINC20551785	CC1CCCC[NH+]1CCCNC(=O)c1cc(Cl)ccc1N
ZINC21812057	Cc1ccc(C)c(NS(=O)(=O)Cc2ccc(C[NH3+])cc2)c1
ZINC35545948	CC[NH2+]C(Cc1ccccc1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC35581354	CCC[NH2+]C(c1ccsc1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC36846843	NS(=O)(=O)CC[NH2+]C1CC(c2cccc(Cl)c2)C1
ZINC37007922	CC(C)CC([NH3+])C(=O)Nc1ccc(C(C)(C)C#N)cc1
ZINC37071937	CC1C[NH+](C)C(C)CC1Nc1ccccc1SCC(N)=O
ZINC37199382	CC([NH2+]Cc1ccc(S(N)(=O)=O)cc1)C1CCCCC1
ZINC37390280	[NH3+]Cc1ccccc1CS(=O)(=O)NC1CCCCCC1
ZINC36682549	Cc1ccc(C(=O)Nc2ccccc2OCC[NH3+])cc1
ZINC37572872	CSc1ccc(NS(=O)(=O)c2ccc(C[NH3+])cc2)cc1
ZINC37573529	CC(NS(=O)(=O)c1ccc(C[NH3+])cc1)c1cccs1
ZINC37615201	CC([NH3+])(C(=O)Nc1ccc(OC2CCCC2)cc1)C1CC1
ZINC37615867	CC(C)Oc1ccc(-c2cnc(C(C)([NH3+])C3CC3)[nH]2)cc1
ZINC37615924	CC([NH3+])(c1ncc(-c2ccccc2OC(F)F)[nH]1)C1CC1
ZINC37622281	CCCC(C)([NH3+])C(=O)Nc1ccc(N2CCCCC2)cc1
ZINC37627499	CCCOc1ccccc1NC(=O)C1CCC([NH3+])CC1
ZINC37739607	CC([NH2+]CCC1CCCC1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC37918419	CC1CCCCC1NS(=O)(=O)Cc1cccc(C[NH3+])c1
ZINC37950597	Cc1ccc(C(C)([NH2+]CC2CCCO2)C(N)=O)cc1C
ZINC40921307	CC(C)Oc1ccc(C(C)NC(=O)C(C)(C)[NH3+])cc1
ZINC41651566	CC([NH3+])(C(=O)NC(c1ccccc1)c1ccco1)C1CC1
ZINC42037328	N/[NH+]=C(/NC1CCCC1)c1ccc(OC(F)F)cc1
ZINC42405717	CC[NH2+]Cc1ccc(N2CCCCC2C(N)=O)c(F)c1
ZINC42869883	CC1CCCCC1CNS(=O)(=O)c1ccc(C[NH3+])s1
ZINC45065086	C[NH+](CC(=O)Nc1cc(F)ccc1N)CC(C)(C)C
ZINC45368566	CC1CCc2ccccc2N1CC([NH2+]C1CC1)C(N)=O
ZINC49120922	CCC1CCCCC1NS(=O)(=O)c1ccc(C[NH3+])cc1
ZINC49526292	Cc1ccccc1C(C)NS(=O)(=O)c1cccc(C[NH3+])c1
ZINC50251896	CCC(C(=O)[O-])(c1ccc(Cl)cc1)[NH+]1CCC(C[NH3+])C1
ZINC50460831	COc1ccc(C(NC(=O)C2CC2[NH3+])C2CC2)cc1
ZINC50581659	Cc1cc(N2CCCC2C(N)=O)ccc1C[NH2+]C1CC1
ZINC52048524	Cc1cc(C(C)NC(=[NH2+])NC2CCCCC2)c(C)o1
ZINC53097425	O=C(C[NH2+]C1(CO)CCCCC1)NC1CCCC1
ZINC53341417	CC1CCCC(CO)([NH2+]CC(=O)NC2CCCCCC2)C1
ZINC54602059	CCC[NH2+]C1CC2CCCC(C1)N2C(C)C(N)=O
ZINC55021302	CC1CCC([NH+](C)C(C/C(N)=N/O)c2ccccc2)CC1
ZINC04365945	CO/C(N)=N/C(=S)Nc1cccc(C(F)(F)F)c1
ZINC36678091	CCC(CC(N)=[NH2+])N1CCN(c2ccccc2)CC1
ZINC57608060	Cc1ccccc1C(C[NH3+])CC(=O)Nc1ccccc1C#N
ZINC50089134	CC1CCCC(C[NH3+])(N(C)CC(=O)NC2CCCCC2)C1
ZINC61631006	CC(C)C(C)[NH+](C)Cc1nc(NN)ccc1Cl
ZINC61821817	CNC(C)(CC[NH+]1CCC2(CCCCC2)CC1)C(N)=O
ZINC62861059	CCCC1(C(=O)NC2(CO)CCC(C)CC2)CCC[NH2+]C1
ZINC63103931	CC(C)C(C[NH+](C)C)Nc1nc2ccc(N)cc2s1
ZINC63175576	CC(C)Cc1ccc(S(=O)(=O)NC2CCCC2[NH3+])cc1
ZINC63175579	CC(C)Cc1ccc(S(=O)(=O)NC2CCCC2[NH3+])cc1
ZINC03887918	CCCNc1ccc(S(=O)(=O)N(CC)CC)cc1N
ZINC09247979	NC(=O)c1ccccc1OCC(=O)NCCC1=CCCCC1
ZINC12226323	C=CCNC(=S)Nc1cccc(Nc2cc(C)ncn2)c1
ZINC14569409	C=CCNC(=S)NNC(=O)COc1ccccc1C(C)C
ZINC15908700	Cc1cc(C)cc(OCC(=O)NNC(=S)NC2CC2)c1
ZINC15909964	COCCCNC(=S)NNC(=O)/C=C/c1cccc(C)c1
ZINC16311882	Cc1cccc(C)c1OCC(=O)NNC(=S)NC1CC1
ZINC20364685	CCC(CC)NC(=O)C(C)Nc1ccc(NC(C)=O)cc1
ZINC26678125	CCCNC(=S)NNC(=O)CCc1ccc(C#N)cc1
ZINC32771704	C=CCNC(=O)C(C)Nc1ccc(F)c(NC(=O)C2CC2)c1
ZINC35422843	Cc1cc(C)c(NC(=O)C[NH2+]CCCC(=O)[O-])c(Cl)c1
ZINC36263574	CCCNC(=O)COc1ccc(C(=O)CCC)cc1N
ZINC37066639	Nc1ccc(NCCc2ccccn2)nc1OCC1CC1
ZINC40470177	O=C([O-])CCCCCNC(=O)C1CC2CCCCC2[NH2+]1
ZINC41097678	CCCC(C)NC(=O)C(C)OC(=O)c1ccc(F)c(N)c1
ZINC41802730	CCNC(=O)C[NH2+]C(C)(C(=O)[O-])c1ccc(CC)cc1
ZINC41805464	CCCNC(=O)C[NH2+]C(CC)(C(=O)[O-])c1ccc(F)cc1
ZINC41805571	CCCNC(=O)C[NH2+]C(CCC)(C(=O)[O-])c1ccccc1
ZINC41805828	CCC([NH2+]CC(=O)NC(C)C)(C(=O)[O-])c1ccccc1
ZINC41961467	C=CCNC(=S)NNC(=O)/C=C/c1ccc(OCC)cc1
ZINC41961922	C=CCNC(=S)NNC(=O)c1cccc(OC(F)F)c1
ZINC42453763	CCC(C(=O)N(CC)CC/C(N)=N/O)c1ccccc1
ZINC43039814	CC(C)COCC(O)CNC(=O)NC1CCCC(C)C1C
ZINC43418972	CC(C)CN(CC/C(N)=N/O)C(=O)CC1CC2CCC1C2
ZINC43575362	CCC(CC)NC(=O)C(C)OC(=O)c1ccc(N)cc1F
ZINC43575369	CCCC(C)NC(=O)C(C)OC(=O)c1ccc(N)cc1F
ZINC44871069	CCCC(CCC)(C(=O)N1CCCC1CC)/C(N)=N/O
ZINC46925723	CC(C)(C)CCNC(=O)NCCNC(=O)c1cccs1
ZINC48045941	CC(C)CCNC(=O)COC(=O)c1cc(N)c(F)cc1F
ZINC48674413	C=CCNC(=O)C(C)Nc1ccc(NC(=O)CC)cc1
ZINC48996027	CCCCN(C1CC1)S(=O)(=O)c1ccc(NN)cc1
ZINC49233539	CCNC(=O)C(C)[NH2+]C(CC)(C(=O)[O-])c1ccc(C)cc1
ZINC52760134	Nc1ccc(N2CCCC2CCCO)nc1OCC1CC1
ZINC52880754	CCC(C)[NH2+]CC(=O)NC(C)(C(=O)[O-])c1ccccc1
ZINC54396668	CN(CCCNc1nccnc1C(N)=S)c1ccccc1
ZINC54413841	CC(C)CCNC(=O)C(C)OC(=O)c1ccc(N)c(F)c1
ZINC55835291	CC(NC(=O)CNc1ccc(C(=O)NC2CC2)cc1)C1CC1
ZINC57752158	CCOc1ccc(C(C[NH3+])Cc2ccc(C(=O)[O-])o2)cc1
ZINC57896892	C=CCOc1ccc(/C=C\C(=O)NCCCOC)cc1N
ZINC58605727	O=C(CCCNC(=O)NC1CCCCC1)NCC1CC1
ZINC58678820	CC(=O)NC(C)C(=O)NCC(Nc1ccccc1)C(C)C
ZINC55879243	CCC(C)(C)NC(=O)c1ccc(NCC(=O)NC2CC2)cc1
ZINC60400341	CCOCCCNC(=S)NNC(=O)c1cccc(C)c1
ZINC60416514	CN(C(=O)CCCCNC(N)=O)c1ccc(C(C)(C)C)cc1
ZINC63133028	CCCOc1nc(NCCc2nc(C)cs2)ccc1N
ZINC65132944	CC(C)CCNC(=O)NNC(=O)CSCCC(C)C
ZINC66619784	CC(CC(=O)NNC(=O)CNc1ccccc1)C(C)(C)C
ZINC67086856	CC(C)CCC(=O)NNC(=O)NCCSC(C)(C)C
ZINC67385688	CC/C(N)=N/OCC(=O)NC(C)c1ccc(CC)cc1
ZINC67647364	CCCCC1CCC(NC(=O)NCCC(=O)NC)CC1
ZINC01217949	O=C(CCC1CCCC1)NCC1CCCO1
ZINC06442038	C=CC(C)(O)CN(C=O)Cc1ccccc1
ZINC11893742	CC(C)CC(=O)NC(C(=O)Cl)C(C)C
ZINC19861814	C/C=C/c1ccc(OCCO)c(OC)c1
ZINC20176518	CC(C)Oc1ccc(C(C#N)NC2CC2)cc1
ZINC20177797	COCCCNC1(C#N)CCCC1
ZINC20200026	COc1ccc(C(C)NCCC#N)cc1F
ZINC20380079	CCCNC(C)(C#N)c1ccc(OC)cc1
ZINC35192711	CC(C)COC(=O)C1CSC(C(C)C)N1
ZINC36334767	C=CC(=O)NCCN(C)c1ccccc1
ZINC36881341	CC(C)(C)NS(=O)(=O)CCCCl
ZINC36904874	N#CCCNc1ccccc1OC(F)F
ZINC37853839	CN(CCO)C(=O)CCC1CCCC1
ZINC37928180	CCOC(=N)c1ccc(OC(C)C)cc1
ZINC38027594	CCCC[NH+]1CCCCC1CC(=O)[O-]
ZINC39091257	CC(C)/C=C/CNC(=O)OC(C)(C)C
ZINC40108280	CC1CCCCC1OCCNC(=O)C1CC1
ZINC41849724	CCCC(C)(C(=O)[O-])[NH+](C)C1CCCCC1
ZINC42162819	CC(C)(C)CC[NH+]1CCCC1CC(=O)[O-]
ZINC44217387	CCOCCOC1CCCCCC1O
ZINC44221689	CC(C)(C)C(O)COCC1CCCCO1
ZINC44223916	CC(C)OCCOC1CCCCCC1O
ZINC45175313	CC(C)NC(C)(C#N)CN(C)c1ccccc1
ZINC45209366	COCC(C#N)(NC1CC1)c1ccccc1
ZINC45323673	CC1CCCC(OCC(C#N)NC2CC2)C1
ZINC45325572	CC1CCCCC1OCC(C#N)NC1CC1
ZINC48580727	COc1ccc(C(C)NCC(C)C#N)cc1F
ZINC48835136	Cc1ccccc1SCC(=O)NCCC#N
ZINC49566485	CC(CCc1ccco1)NCC#N
ZINC50837502	CCC(C)SCc1nnsc1NC
ZINC51286542	CCCC(C)(C[NH+]1CCC(C)CC1)C(=O)[O-]
ZINC51287840	C[NH+](Cc1cccs1)CC(C)(C)C(=O)[O-]
ZINC51963004	C#CCNC(C#N)c1ccccc1OC(F)F
ZINC51963007	C#CCNC(C#N)c1ccccc1OC(F)F
ZINC52156785	CNC(C#N)COCC1CCCCC1
ZINC53256258	COCCNC(C#N)c1cc(F)ccc1F
ZINC55003059	CCCc1nc(N(C)C2CC2)sc1CO
ZINC55476324	CSCC(=O)N(CCO)C1CCCCC1
ZINC57520181	C=CCNC(=O)CC(C#N)c1ccccc1F
ZINC57527366	CCOc1ccccc1OC1(CO)CCCC1
ZINC58372504	CCN(CC)C(=O)CNc1cc(C)cc(C)c1
ZINC61572964	COC(=O)C(NC1CCCSC1)C(C)C
ZINC61640403	CNc1ccc(Cl)c(COCC2CC2)n1
ZINC61714402	CCCNc1nc(C)c(COC)s1
ZINC61954454	CN(CCCCO)c1ccc(C#N)cc1
ZINC61954484	CN(CCCCO)c1cccc(C#N)c1
ZINC62441492	CNC(C#N)CCOC1CCCC(C)C1
ZINC62751459	CCC(C)[NH+](CC)C1CCCC1C(=O)[O-]
ZINC62938175	CCCC1(C(=O)[O-])CC[NH+](CC(F)F)C1
ZINC66759294	CSCC(C)C(=O)NC(C)C1CCCO1
ZINC05680903	CCCCS(=O)(=O)Nc1ccccc1C#N
ZINC08250859	CC(C)CNc1nnc(SCC#N)s1
ZINC10849146	O=C(COC(=O)C1CC=CCC1)c1ccc[nH]1
ZINC08048317	COCCCNc1ccc(Cl)nn1
ZINC19870803	CC(OCC1CC1)C(=O)Nc1ccc(C#N)cc1
ZINC19984637	COc1ccc(CNC(C#N)c2ccco2)cc1
ZINC20074985	CCOc1ccccc1NCc1cnn(C)c1
ZINC32504113	C#CCNC(=O)/C=C/c1ccc(OCC#N)cc1
ZINC31978725	C[NH+](C)CCOc1ccsc1C(=O)[O-]
ZINC32979642	COC(=O)C(C)NC(=O)/C=C/c1cccs1
ZINC35432917	CC[NH+](CC)Cc1occc1C(=O)[O-]
ZINC36865650	CCCN(CC)c1n[nH]c(=S)n1C(C)C
ZINC36865720	CCC(C)N(CC)c1n[nH]c(=S)n1CC
ZINC36994144	CC(Cc1ccco1)NCc1ccnn1C
ZINC37097673	CCCN(C(=O)NC(=O)CCCl)C1CC1
ZINC37137593	CC(C)CNc1cnn(CC2CCCO2)c1
ZINC37631790	CC(=O)OC(C(=O)NC1CCCCC1)C(C)C
ZINC37823374	CC(C#N)CN(C)C(=O)CNc1ccccc1
ZINC39099636	CCO/N=C\c1ccc(O)c(OCC)c1
ZINC20304205	CC(C)NC(=O)C(C)Oc1ccccc1C=O
ZINC42204871	COC(=O)C(C)NC(=O)CC1CCCCC1
ZINC42468748	C/C=C\C=C\C(=O)Nc1nnc(CCC)s1
ZINC44443987	CC(Cc1ccco1)NS(=O)(=O)C(C)C
ZINC44477253	COCC(C)CNc1nc(C)cc(C)n1
ZINC45060882	CCN(CC#N)C(C)C(=O)NC1CCCCC1
ZINC45176179	CCCNC(C)(C#N)CN1CC(C)OCC1C
ZINC45318161	CCNC(C#N)CN1CC(C)OCC1CC
ZINC48628908	COc1ccccc1C(C)NC(=O)C(C)OC
ZINC49689152	COc1ccc(CO)c(OCC2CCOC2)c1
ZINC50839186	CCNc1ccc(CSC)cc1[N+](=O)[O-]
ZINC50851700	CNc1cc(C(C)C)nc(CCOC)n1
ZINC50925062	O=C([O-])CCC1CCCC[NH+]1Cc1ccco1
ZINC51020224	O=c1c2ccccc2cnn1CCCCCO
ZINC51287896	CCC(CC)(C[NH+]1CCOCC1C)C(=O)[O-]
ZINC51288378	CCC1COCC[NH+]1CC(C)(CC)C(=O)[O-]
ZINC51330402	CC(C1CC1)[NH+](C)Cc1cc(C(=O)[O-])co1
ZINC51395292	CC[NH+](CC1CCC(C(=O)[O-])O1)C1CCCC1
